sleep_date,bedtime,wake_time,inbed_minutes,asleep_window_minutes,asleep_minutes,awake_minutes,total_sleep_min,first_asleep_start,sleep_onset_latency_min,sleep_efficiency,weekday,sleep_debt_7n_min,bedtime_min_wrapped,bedtime_std_7n,bedtime_drift_min,wake_min_wrapped,wake_std_7n
2025-03-26,2025-03-26 21:54:16-08:00,2025-03-26 23:25:46-08:00,,91.5,91.5,,91.5,2025-03-26 21:54:16-08:00,0.0,,2,,594,,,685,
2025-07-30,2025-07-30 15:06:18-08:00,2025-07-30 16:19:18-08:00,,71.0,71.0,2.0,71.0,2025-07-30 15:06:18-08:00,0.0,,2,,186,,,259,
2025-08-23,2025-08-23 14:35:48-08:00,2025-08-23 15:49:48-08:00,,73.0,73.0,1.0,73.0,2025-08-23 14:35:48-08:00,0.0,,5,1204.5,155,244.99863945200457,,229,255.0529356819874
2025-11-01,2025-11-02 04:10:51-08:00,2025-11-02 10:56:21-08:00,,405.5,405.5,,405.5,2025-11-02 04:10:51-08:00,0.0,,5,1279.0,970,385.1842632645662,,1376,534.7188513602265
2025-11-10,2025-11-11 03:38:42-08:00,2025-11-11 05:00:12-08:00,,81.5,81.5,,81.5,2025-11-11 03:38:42-08:00,0.0,,0,1677.5,938,392.3235909297324,297.66666666666663,1020,493.7030484005542
